country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Hungary,Thai,7,1.6018306636155606,4.0,346.0
Hungary,Turkish,6,1.3729977116704806,4.083333333333333,231.0
Hungary,Tuscan,3,0.6864988558352403,4.5,515.0
Hungary,Vietnamese,7,1.6018306636155606,4.0,232.0
Hungary,Wine Bar,1,0.2288329519450801,4.0,2.0
Ireland,Afghani,9,0.08733624454148471,4.277777777777778,110.0
Ireland,African,6,0.058224163027656484,3.75,855.0
Ireland,Albanian,2,0.019408054342552158,5.0,3.0
Ireland,American,366,3.551673944687045,3.796448087431694,44728.0
Ireland,Apulian,1,0.009704027171276079,5.0,1.0
Ireland,Arabic,17,0.16496846191169334,4.088235294117647,349.0
Ireland,Argentinian,3,0.029112081513828242,4.333333333333333,114.0
Ireland,Armenian,5,0.048520135856380396,4.3,460.0
Ireland,Asian,825,8.005822416302767,4.0636363636363635,78854.0
Ireland,Assyrian,1,0.009704027171276079,5.0,2.0
Ireland,Australian,10,0.09704027171276079,4.0,308.0
Ireland,Austrian,1,0.009704027171276079,5.0,2.0
Ireland,Balti,91,0.8830664725861233,4.318681318681318,17774.0
Ireland,Bangladeshi,8,0.07763221737020863,4.5,1447.0
Ireland,Bar,1819,17.65162542455119,4.176195711929632,362198.0
Ireland,Barbecue,52,0.5046094129063561,4.125,9395.0
Ireland,Beer restaurants,10,0.09704027171276079,4.45,2821.0
Ireland,Belgian,2,0.019408054342552158,3.25,14.0
Ireland,Brazilian,14,0.13585638039786513,4.214285714285714,558.0
Ireland,Brew Pub,30,0.2911208151382824,4.333333333333333,8990.0
Ireland,British,121,1.1741872877244055,4.0578512396694215,26648.0
Ireland,Cafe,2351,22.814167879670062,4.239685240323267,153670.0
Ireland,Cajun & Creole,3,0.029112081513828242,4.333333333333333,534.0
Ireland,Calabrian,2,0.019408054342552158,4.75,11.0
Ireland,Campania,13,0.12615235322658902,4.384615384615385,4339.0
Ireland,Canadian,3,0.029112081513828242,4.0,165.0
Ireland,Caribbean,5,0.048520135856380396,4.9,25.0
Ireland,Catalan,3,0.029112081513828242,4.5,2432.0
Ireland,Caucasian,1,0.009704027171276079,5.0,1.0
Ireland,Central American,8,0.07763221737020863,4.5625,1646.0
Ireland,Central Asian,4,0.038816108685104316,3.875,18.0
